{1598210366838325}, {11666.140000}, {6.731865}, {11666.150000}, {0.333936}
{1598210365978240}, {11666.140000}, {6.752865}, {11666.150000}, {0.333936}
{1598210366074869}, {11666.140000}, {6.752865}, {11666.150000}, {0.333936}
{1598210366161786}, {11666.140000}, {6.752865}, {11666.150000}, {0.332390}
{1598210366177710}, {11666.140000}, {6.752865}, {11666.150000}, {0.332390}
{1598210366211181}, {11666.140000}, {6.752865}, {11666.150000}, {0.332390}
{1598210366256420}, {11666.140000}, {6.754006}, {11666.150000}, {0.332390}
{1598210366524375}, {11666.140000}, {6.754006}, {11666.150000}, {0.300948}
{1598210366531632}, {11666.140000}, {6.756062}, {11666.150000}, {0.300948}
{1598210366531677}, {11666.140000}, {6.956062}, {11666.150000}, {0.300948}
{1598210366545007}, {11666.140000}, {7.156062}, {11666.150000}, {0.300948}
{1598210366547929}, {11666.140000}, {7.356062}, {11666.150000}, {0.300948}
{1598210366584193}, {11666.140000}, {7.356062}, {11666.150000}, {0.300948}
{1598210366599265}, {11666.140000}, {7.356062}, {11666.150000}, {0.300948}
{1598210366812528}, {11666.140000}, {7.356062}, {11666.150000}, {0.300948}
{1598210366846246}, {11666.140000}, {7.356062}, {11666.150000}, {0.300948}
{1598210366859904}, {11666.140000}, {7.317574}, {11666.150000}, {0.300948}
{1598210366985830}, {11666.140000}, {7.317574}, {11666.150000}, {0.300948}
{1598210367019532}, {11666.140000}, {7.317574}, {11666.150000}, {0.300948}
{1598210367028534}, {11666.140000}, {7.336574}, {11666.150000}, {0.300948}
{1598210367068393}, {11666.140000}, {7.336574}, {11666.150000}, {0.300337}
{1598210367088372}, {11666.140000}, {7.336574}, {11666.150000}, {0.300337}
{1598210367175488}, {11666.140000}, {7.336574}, {11666.150000}, {0.300337}
{1598210367292286}, {11666.140000}, {7.322713}, {11666.150000}, {0.300337}
{1598210367416398}, {11666.140000}, {7.253467}, {11666.150000}, {0.300337}
{1598210367659427}, {11666.140000}, {7.253467}, {11666.150000}, {0.300337}
{1598210368061661}, {11666.140000}, {7.273467}, {11666.150000}, {0.300337}
{1598210368135143}, {11666.140000}, {7.273467}, {11666.150000}, {0.299856}
{1598210368232556}, {11666.140000}, {7.273467}, {11666.150000}, {0.299856}
{1598210368282061}, {11666.140000}, {7.273467}, {11666.150000}, {0.299856}
{1598210368606882}, {11666.140000}, {7.273467}, {11666.150000}, {0.299856}
{1598210368632999}, {11666.140000}, {7.273467}, {11666.150000}, {0.299856}
{1598210368696474}, {11666.140000}, {7.273467}, {11666.150000}, {0.299856}
{1598210368764796}, {11666.140000}, {7.273467}, {11666.150000}, {0.299856}
{1598210368866933}, {11666.140000}, {7.263257}, {11666.150000}, {0.299856}
{1598210369104987}, {11666.140000}, {7.263257}, {11666.150000}, {0.299142}
{1598210369105747}, {11666.140000}, {7.283257}, {11666.150000}, {0.299142}
{1598210369114962}, {11666.140000}, {7.283257}, {11666.150000}, {0.299142}
{1598210369136726}, {11666.140000}, {7.283257}, {11666.150000}, {0.299142}
{1598210369158101}, {11666.140000}, {7.283257}, {11666.150000}, {0.299142}
{1598210369193459}, {11666.140000}, {7.283257}, {11666.150000}, {0.299142}
{1598210369212767}, {11666.140000}, {7.283257}, {11666.150000}, {0.299142}
{1598210369284647}, {11666.140000}, {7.283257}, {11666.150000}, {0.299142}
{1598210369304083}, {11666.140000}, {7.283257}, {11666.150000}, {0.299142}
